"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"DIALYSIS CLINICS, INC - COLUMBIA","262506","-","3300 LEMONE BLVD","COLUMBIA","MO","65201","12","KT/V COMPREHENSIVE","  88.50%","0","-","7","7"
"ST. LOUIS REGIONAL DIALYSIS CENTER, INC.","262507","-","10951 ST. CHARLES ROCK ROAD","SAINT ANN","MO","63074","12","KT/V COMPREHENSIVE","  97.85%","9","-","7","7"
"CREVE COEUR DIALYSIS CENTER","262508","-","1009 EXECUTIVE PKWY #100","CREVE COEUR","MO","63141","12","KT/V COMPREHENSIVE","  90.02%","0","-","7","7"
"METRO DIALYSIS CENTER - NORTH","262509","-","2 GRANDVIEW PLAZA","FLORISSANT","MO","63033","12","KT/V COMPREHENSIVE","  97.56%","8","-","7","7"
"FMC - BLUE SPRINGS","262511","-","505 NE ADAMS DAIRY PARKWAY SUITE B","BLUE SPRINGS","MO","64014","12","KT/V COMPREHENSIVE","  97.47%","8","-","7","7"
"ZZ CLOSED DCI WITH JCMG WEST","262513","-","144 SCOTT STATION RD","JEFFERSON CITY","MO","65109","12","KT/V COMPREHENSIVE","  92.78%","3","-","7","7"
"DIALYSIS CLINICS, INC - SEDALIA","262515","-","950 MITCHELL RD","SEDALIA","MO","65301","12","KT/V COMPREHENSIVE","  98.57%","10","-","7","7"
"DIALYSIS CLINICS, INC - MEXICO","262516","-","806 MEDICAL PARK DR.","MEXICO","MO","65265","12","KT/V COMPREHENSIVE","  97.96%","9","-","7","7"
"DIALYSIS CLINICS, INC - SAINT JOSEPH","262517","-","650 CARONDELET DR","KANSAS CITY","MO","64114","12","KT/V COMPREHENSIVE","  91.80%","1","-","7","7"
"DIALYSIS CLINICS, INC - WEST PLAINS","262520","-","205 VALLEY VIEW DR","WEST PLAINS","MO","65775","12","KT/V COMPREHENSIVE","  93.60%","4","-","7","7"
"SAINT CHARLES COUNTY DIALYSIS","262521","-","335 MID RIVERS MALL DR","SAINT PETERS","MO","63376","12","KT/V COMPREHENSIVE","  95.42%","6","-","7","7"
"DIALYSIS CLINICS, INC - BOWLING GREEN","262522","-","4 TOWN CENTER, SUITE F","BOWLING GREEN","MO","63334","12","KT/V COMPREHENSIVE","  96.49%","7","-","7","7"
"ISD - HARRISONVILLE RENAL CENTER","262523","-","308 GALAXIE AVENUE","HARRISONVILLE","MO","64701","12","KT/V COMPREHENSIVE","  99.15%","10","-","7","7"
"CRYSTAL CITY DIALYSIS CENTER","262524","-","960 S. TRUMAN BLVD.","CRYSTAL CITY","MO","63019","12","KT/V COMPREHENSIVE","  99.59%","10","-","7","7"
"ST LOUIS DIALYSIS","262527","-","324 DEBALIVIERE AVE","SAINT LOUIS","MO","63112","12","KT/V COMPREHENSIVE","  95.44%","6","-","7","7"
"QUALITY CARE DIALYSIS CENTERS - BRIDGETON","262528","-","12484 ST. CHARLES ROCK RD","BRIDGETON","MO","63044","12","KT/V COMPREHENSIVE","  98.21%","9","-","7","7"
"LIBERTY DIALYSIS","262530","-","2525 GLENN HENDREN DR.","LIBERTY","MO","64068","12","KT/V COMPREHENSIVE","  99.32%","10","-","7","7"
"FRESENIUS OF NORMANDY","262531","-","25 NORTH OAKS PLAZA","NORMANDY","MO","63121","12","KT/V COMPREHENSIVE","  97.75%","9","-","7","7"
"HOPE AGAIN DIALYSIS CENTER","262534","-","1207 STATE RTE V V","KENNETT","MO","63857","12","KT/V COMPREHENSIVE","  97.34%","8","-","7","7"
"QUALITY CARE DIALYSIS CENTERS - NORTH COUNTY","262535","-","6865 PARKER RD.","FLORISSANT","MO","63033","12","KT/V COMPREHENSIVE","  95.39%","6","-","7","7"
"ROLLA DIALYSIS","262536","-","1503 E. 10TH ST.","ROLLA","MO","65401","12","KT/V COMPREHENSIVE","  97.69%","8","-","7","7"
"DIALYSIS CLINICS, INC - BAPTIST","262537","-","6530 TROOST AVE","KANSAS CITY","MO","64131","12","KT/V COMPREHENSIVE","  96.97%","8","-","7","7"
"PENN VALLEY DIALYSIS CENTER","262538","-","2502 SUMMIT","KANSAS CITY","MO","64108","12","KT/V COMPREHENSIVE","  93.01%","3","-","7","7"
"FMC -  UNIVERSITY CITY","262539","-","6850 OLIVE BLVD","UNIVERSITY CITY","MO","63130","12","KT/V COMPREHENSIVE","  98.14%","9","-","7","7"
"FMC - CREVE COEUR","262540","-","555 N NEW BALLAS #170","CREVE COEUR","MO","63141","12","KT/V COMPREHENSIVE","  93.23%","3","-","7","7"
"LAKE ST LOUIS DIALYSIS","262541","-","200 BREVCO PLAZA STE 202","LAKE SAINT LOUIS","MO","63367","12","KT/V COMPREHENSIVE","  99.35%","10","-","7","7"
"DIALYSIS CLINICS, INC - OSAGE BEACH","262542","-","1027 PALLISADES BLVD.","OSAGE BEACH","MO","65065","12","KT/V COMPREHENSIVE","  96.46%","7","-","7","7"
"FMC - BRIDGETON","262543","-","12380 NATURAL BRIDGE RD","BRIDGETON","MO","63044","12","KT/V COMPREHENSIVE","  95.54%","6","-","7","7"
"FMC - CAPE GIRARDEAU","262544","-","150 S FARRAR DRIVE","CAPE GIRARDEAU","MO","63701","12","KT/V COMPREHENSIVE","  99.00%","10","-","7","7"
"FMC - SPRINGFIELD MIDWEST","262547","-","2003 E SUNSHINE ST","SPRINGFIELD","MO","65804","12","KT/V COMPREHENSIVE","  96.63%","7","-","7","7"
"FMC - JOPLIN EAST","262548","-","522 WEST 32ND ST SUITE B","JOPLIN","MO","64804","12","KT/V COMPREHENSIVE","  96.43%","7","-","7","7"
"FMC - SAINT LOUIS GRAND","262549","-","3691 RUTGER ST. #222 DRUMMOND HALL","SAINT LOUIS","MO","63110","12","KT/V COMPREHENSIVE","  96.80%","7","-","7","7"
"RENAL CARE GROUP - KENNETT","262550","-","715 TEACO RD","KENNETT","MO","63857","12","KT/V COMPREHENSIVE","  89.59%","0","-","7","7"
"HOSPITAL HILL DIALYSIS","262551","-","900 E 21ST STREET","KANSAS CITY","MO","64108","12","KT/V COMPREHENSIVE","  97.78%","9","-","7","7"
"DIALYSIS CLINICS, INC - LEES SUMMIT","262552","-","219 NW EXECUTIVE WAY","LEES SUMMIT","MO","64063","12","KT/V COMPREHENSIVE","  98.22%","9","-","7","7"
"FENTON DIALYSIS CENTER","262553","-","850 HORAN DR.","FENTON","MO","63026","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"LEE'S SUMMIT DIALYSIS","262555","-","1831 SE BLUE PARKWAY","LEES SUMMIT","MO","64063","12","KT/V COMPREHENSIVE","  99.13%","10","-","7","7"
"INDEPENDENCE DIALYSIS CENTER","262556","-","1135 S. CLAREMONT","INDEPENDENCE","MO","64054","12","KT/V COMPREHENSIVE","  96.56%","7","-","7","7"
"FMC - BOLIVAR","262559","-","2101 W BROADWAY","BOLIVAR","MO","65613","12","KT/V COMPREHENSIVE","  96.87%","7","-","7","7"
"RENEX DIALYSIS CLINIC OF MAPLEWOOD","262560","-","6512 MANCHESTER RD.","SAINT LOUIS","MO","63139","12","KT/V COMPREHENSIVE","  97.52%","8","-","7","7"
"FLORISSANT DIALYSIS","262561","-","10887 W FLORISSANT RD","FERGUSON","MO","63136","12","KT/V COMPREHENSIVE","  98.77%","10","-","7","7"
"WASHINGTON SQUARE DIALYSIS","262562","-","1112 WASHINGTON SQUARE","WASHINGTON","MO","63090","12","KT/V COMPREHENSIVE","  99.85%","10","-","7","7"
"FMC - POPLAR BLUFF","262563","-","2311 EUGENE BVLD.","POPLAR BLUFF","MO","63901","12","KT/V COMPREHENSIVE","  98.25%","9","-","7","7"
"ISD - KANSAS CITY RENAL CENTER","262564","-","4333 MADISON AVE","KANSAS CITY","MO","64111","12","KT/V COMPREHENSIVE","  98.02%","9","-","7","7"
"FOREST PARK KIDNEY CENTER","262565","-","4205 FOREST PARK AVE.","SAINT LOUIS","MO","63108","12","KT/V COMPREHENSIVE","  95.02%","5","-","7","7"
"ST CHARLES DIALYSIS","262568","-","2125 BLUESTONE DR.","SAINT CHARLES","MO","63303","12","KT/V COMPREHENSIVE","  99.54%","10","-","7","7"
"JEFFERSON COUNTY DIALYSIS CENTER","262569","-","1301 YMCA DR., #200","FESTUS","MO","63028","12","KT/V COMPREHENSIVE","  94.23%","4","-","7","7"
"DIALYSIS CLINICS, INC - BOONVILLE","262570","-","16895 RANKIN MILL RD.","BOONVILLE","MO","65233","12","KT/V COMPREHENSIVE","  96.78%","7","-","7","7"
"SHREWSBURY DIALYSIS","262572","-","7303 WATSON ROAD SUITE 7","SAINT LOUIS","MO","63119","12","KT/V COMPREHENSIVE","  99.39%","10","-","7","7"
"DIALYSIS CLINICS, INC - MOBERLY","262573","-","1511 UNION AVE.","MOBERLY","MO","65270","12","KT/V COMPREHENSIVE","  97.93%","9","-","7","7"
"SOUTH COUNTY DIALYSIS CENTER","262574","-","4145 UNION ROAD","SAINT LOUIS","MO","63129","12","KT/V COMPREHENSIVE","  96.77%","7","-","7","7"
"DCI WITH JCMG EAST","262575","-","1916 BOGGS CREEK ROAD","JEFFERSON CITY","MO","65101","12","KT/V COMPREHENSIVE","  95.70%","6","-","7","7"
"ST. JOSEPH DIALYSIS","262576","-","5514 CORPORATE DR SUITE 100","SAINT JOSEPH","MO","64507","12","KT/V COMPREHENSIVE","  99.24%","10","-","7","7"
"DIALYSIS CLINICS, INC - BELTON","262577","-","17045 S 71 HWY","BELTON","MO","64012","12","KT/V COMPREHENSIVE","  98.30%","9","-","7","7"
"CAMERON DIALYSIS","262578","-","1003 W 4TH","CAMERON","MO","64429","12","KT/V COMPREHENSIVE","  99.50%","10","-","7","7"
"FMC - CHOUTEAU","262579","-","4030 CHOUTEAU AVE, 1ST FLOOR","SAINT LOUIS","MO","63110","12","KT/V COMPREHENSIVE","  95.43%","6","-","7","7"
"CHILLICOTHE DIALYSIS","262580","-","588 E BUSINESS 36","CHILLICOTHE","MO","64601","12","KT/V COMPREHENSIVE","  97.93%","9","-","7","7"
"ISD - MARSHALL RENAL CENTER","262581","-","359 WEST MORGAN","MARSHALL","MO","65340","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"SAINT LOUIS WEST DIALYSIS","262583","-","400 NORTH LINDBERG BOULEVARD","SAINT LOUIS","MO","63141","12","KT/V COMPREHENSIVE","  97.83%","9","-","7","7"
"FMC - MOUNTAIN GROVE","262584","-","1200 N MAIN  SUITE #2","MOUNTAIN GROVE","MO","65711","12","KT/V COMPREHENSIVE","  99.15%","10","-","7","7"
"SAINT LOUIS WEST PD DIALYSIS","262585","-","9632 OLIVE BLVD","SAINT LOUIS","MO","63132","12","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FMC - LEBANON","262587","-","331 HOSPITAL DRIVE  SUITE F","LEBANON","MO","65536","12","KT/V COMPREHENSIVE","  97.15%","8","-","7","7"
"HAZELWOOD DIALYSIS","262589","-","637 DUNN ROAD #125","HAZELWOOD","MO","63042","12","KT/V COMPREHENSIVE","  98.06%","9","-","7","7"
"FMC -LETHOLT DIALYSIS CENTER","262590","-","910 STONNER LOOP","RICHMOND","MO","64085","12","KT/V COMPREHENSIVE","  99.12%","10","-","7","7"
"CRESTWOOD DIALYSIS","262591","-","9560 WATSON ROAD SUITE A","SAINT LOUIS","MO","63126","12","KT/V COMPREHENSIVE","  96.90%","8","-","7","7"
"DIALYSIS CLINIC, INC - CLINTON","262592","-","1662 N 2ND STREET","CLINTON","MO","64735","12","KT/V COMPREHENSIVE","  95.76%","6","-","7","7"
"FMC DIALYSIS SERVICES OF RAYTOWN","262595","-","11503 E 63RD ST","RAYTOWN","MO","64133","12","KT/V COMPREHENSIVE","  97.30%","8","-","7","7"
"PLATTE WOODS DIALYSIS","262596","-","7667 NW PRAIRIE VIEW RD","KANSAS CITY","MO","64151","12","KT/V COMPREHENSIVE","  99.19%","10","-","7","7"
"ST LOUIS RENAL CARE - MIDTOWN","262597","-","5901 DELMAR BLVD","SAINT LOUIS","MO","63112","12","KT/V COMPREHENSIVE","  97.72%","8","-","7","7"
"ST PETERS DIALYSIS","262599","-","300 1ST EXECUTIVE AVE #A","SAINT PETERS","MO","63376","12","KT/V COMPREHENSIVE","  98.32%","9","-","7","7"
"FMC DIALYSIS SERVICES OF LINCOLN COUNTY","262600","-","9 LINCOLN CENTER, HWY 47, #A","TROY","MO","63379","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"METRO ST LOUIS DIALYSIS CENTER, LLC","262603","-","10160 W FLORISSANT","SAINT LOUIS","MO","63136","12","KT/V COMPREHENSIVE","  94.98%","5","-","7","7"
"PERRY COUNTY DIALYSIS CENTERS","262604","-","12 N KINGSHIGHWAY #100","PERRYVILLE","MO","63775","12","KT/V COMPREHENSIVE","  96.60%","7","-","7","7"
"BRANSON DIALYSIS","262605","-","101 SKAGGS RD #301 101 SKAGGS ROAD","BRANSON","MO","65616","12","KT/V COMPREHENSIVE","  98.87%","10","-","7","7"
"RTC-LAMPLIGHTER DIALYSIS","262606","-","12654 LAMPLIGHTER SQUARE","SAINT LOUIS","MO","63128","12","KT/V COMPREHENSIVE","  97.69%","8","-","7","7"
"RTC - HAMPTON AVENUE DIALYSIS","262607","-","1425 HAMPTON AVENUE","SAINT LOUIS","MO","63139","12","KT/V COMPREHENSIVE","  98.21%","9","-","7","7"
"FMC - NIXA","262610","-","121 N MASSEY","NIXA","MO","65714","12","KT/V COMPREHENSIVE","  99.59%","10","-","7","7"
"RTC COLUMBIA DIALYSIS","262611","-","1701 E BROADWAY SUITE G-102","COLUMBIA","MO","65201","12","KT/V COMPREHENSIVE","  97.27%","8","-","7","7"
"FARMINGTON DIALYSIS CLINIC","262612","-","1370 W LIBERTY ST","FARMINGTON","MO","63640","12","KT/V COMPREHENSIVE","  97.81%","9","-","7","7"
"FRESENIUS KIDNEY CARE - HIGH STREET POTOSI","262613","-","600 PURCELL DR","POTOSI","MO","63664","12","KT/V COMPREHENSIVE","  99.73%","10","-","7","7"
"RAI CARE CENTER -HAMPTON","262614","-","2635 HAMPTON AVE","SAINT LOUIS","MO","63139","12","KT/V COMPREHENSIVE","  91.20%","1","-","7","7"
"SOUTH TOWNE SQUARE DIALYSIS CLINIC","262615","-","11107 SOUTH TOWNE SQUARE","SAINT LOUIS","MO","63123","12","KT/V COMPREHENSIVE","  98.57%","10","-","7","7"
"FRESENIUS MEDICAL SERVICES O FALLON","262616","-","4663 HIGHWAY K","OFALLON","MO","63368","12","KT/V COMPREHENSIVE","  97.32%","8","-","7","7"
"ISD - LEE'S SUMMIT RENAL CENTER","262617","-","100 NE MISSOURI RD SUITE 100","LEES SUMMIT","MO","64086","12","KT/V COMPREHENSIVE","  97.47%","8","-","7","7"
"FMC - SOUTHEAST MISSOURI","262618","-","1723 BROADWAY STE # 105","CAPE GIRARDEAU","MO","63701","12","KT/V COMPREHENSIVE","  97.15%","8","-","7","7"
"FMC - TESSON FERRY DIALYSIS","262619","-","13134 TESSON FERRY ROAD","SAINT LOUIS","MO","63128","12","KT/V COMPREHENSIVE","  94.98%","5","-","7","7"
"ELLISVILLE DIALYSIS CENTER","262621","-","257 CLARKSON ROAD","ELLISVILLE","MO","63011","12","KT/V COMPREHENSIVE","  97.25%","8","-","7","7"
"DIALYSIS CLINICS, INC - WARRENSBURG","262622","-","609 C EAST YOUNG ST","WARRENSBURG","MO","64093","12","KT/V COMPREHENSIVE","  99.43%","10","-","7","7"
"US RENAL CARE FERGUSON DIALYSIS","262624","-","800 CHAMBERS ROAD","FERGUSON","MO","63135","12","KT/V COMPREHENSIVE","  96.01%","6","-","7","7"
"NORTH SAINT LOUIS COUNTY DIALYSIS","262625","-","13119 NEW HALLS FERRY ROAD","FLORISSANT","MO","63033","12","KT/V COMPREHENSIVE","  92.72%","2","-","7","7"
"EASTLAND DIALYSIS","262626","-","19101 E VALLEY VIEW PKWY STE E","INDEPENDENCE","MO","64055","12","KT/V COMPREHENSIVE","  98.48%","9","-","7","7"
"FRONTENAC HOME DIALYSIS CENTER","262627","-","10435 CLAYTON RD SUITE 201","FRONTENAC","MO","63131","12","KT/V COMPREHENSIVE","  78.97%","2","-","7","7"
"EUREKA DIALYSIS CENTER","262628","-","419 MERAMEC BLVD","EUREKA","MO","63025","12","KT/V COMPREHENSIVE","  99.30%","10","-","7","7"
"FMC - WENTZVILLE","262629","-","1534 WEST MEYER ROAD","WENTZVILLE","MO","63385","12","KT/V COMPREHENSIVE","  96.25%","7","-","7","7"
"FMC - CENTERPOINT","262630","-","19401 E 37TH TERRACE COURT SOUTH SUITE 200","INDEPENDENCE","MO","64057","12","KT/V COMPREHENSIVE","  97.64%","8","-","7","7"
"DAVITA - WESTPORT RENAL CENTER","262631","-","3947 BROADWAY BLVD","KANSAS CITY","MO","64111","12","KT/V COMPREHENSIVE","  97.46%","8","-","7","7"
"FMC - SULLIVAN","262632","-","123 PROGRESS PARKWAY","SULLIVAN","MO","63080","12","KT/V COMPREHENSIVE","  96.48%","7","-","7","7"
"FMC - FLORISSANT","262633","-","577 HODERSHELL ROAD","FLORISSANT","MO","63031","12","KT/V COMPREHENSIVE","  92.07%","2","-","7","7"
"TIMBERLAKE DIALYSIS","262634","-","12110 HOLMES RD","KANSAS CITY","MO","64145","12","KT/V COMPREHENSIVE","  98.62%","10","-","7","7"
"DEXTER DIALYSIS","262635","-","2010 N OUTER RD","DEXTER","MO","63841","12","KT/V COMPREHENSIVE","  98.45%","9","-","7","7"
"VILLA OF WATERBURY","262636","-","929 WATERBURY FALLS DRIVE","O FALLON","MO","63368","12","KT/V COMPREHENSIVE","  99.51%","10","-","7","7"
"HANNIBAL DIALYSIS","262637","-","119 PROGRESS RD","HANNIBAL","MO","63401","12","KT/V COMPREHENSIVE","  99.20%","10","-","7","7"
"VILLA OF ST JOHN","262639","-","9030 ST CHARLES ROCK ROAD","SAINT LOUIS","MO","63114","12","KT/V COMPREHENSIVE","  95.06%","5","-","7","7"
"MAPLE VALLEY DIALYSIS","262640","-","649 MAPLE VALLEY DRIVE","FARMINGTON","MO","63640","12","KT/V COMPREHENSIVE","  94.41%","5","-","7","7"
"LAKE ST LOUIS AT HOME","262641","-","200 BREVCO PLAZA SUITE 202","LAKE SAINT LOUIS","MO","63367","12","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"GATEWAY ST LOUIS DIALYSIS, LLC","262642","-","4100 UNION BLVD","SAINT LOUIS","MO","63115","12","KT/V COMPREHENSIVE","  91.83%","1","-","7","7"
"SIKESTON JAYCEE REGIONAL DIALYSIS","262643","-","135 PLAZA DR # 101","SIKESTON","MO","63801","12","KT/V COMPREHENSIVE","  99.69%","10","-","7","7"
"GRANDVIEW DIALYSIS","262644","-","13812 S 71 HWY","GRANDVIEW","MO","64030","12","KT/V COMPREHENSIVE","  95.11%","5","-","7","7"
"US RENAL CARE ST CHARLES DIALYSIS","262645","-","2655 MUEGGE ROAD SUITE 101","SAINT CHARLES","MO","63303","12","KT/V COMPREHENSIVE","  91.67%","1","-","7","7"
"CHAMBERS DIALYSIS","262646","-","10241 LEWIS & CLARK BOULEVARD","SAINT LOUIS","MO","63136","12","KT/V COMPREHENSIVE","  95.16%","5","-","7","7"
"ARNOLD DIALYSIS","262647","-","102 RICHARDSON XING","ARNOLD","MO","63010","12","KT/V COMPREHENSIVE","  97.69%","8","-","7","7"
"TOWN AND COUNTRY WEST DIALYSIS","262648","-","12855 N 40 DRIVE SUITE L4","SAINT LOUIS","MO","63141","12","KT/V COMPREHENSIVE","  98.31%","9","-","7","7"
"BOWLES AVENUE DIALYSIS","262649","-","1011 BOWLES AVENUE SUITE 210","FENTON","MO","63026","12","KT/V COMPREHENSIVE","  97.53%","8","-","7","7"
"HEARTLAND KIDNEY CENTER","262650","-","2828 SOUTH GRAND","CARTHAGE","MO","64836","12","KT/V COMPREHENSIVE","  99.23%","10","-","7","7"
"SWOPE DIALYSIS","262651","-","4407 EAST 50TH TERRACE","KANSAS CITY","MO","64130","12","KT/V COMPREHENSIVE","  97.01%","8","-","7","7"
"FMC - WEST PLAINS","262652","-","1449 GIBSON AVE","WEST PLAINS","MO","65775","12","KT/V COMPREHENSIVE","  98.36%","9","-","7","7"
"BETHANY HEALTH SERVICES","262653","-","903 N 25TH STREET","BETHANY","MO","64424","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"SOUTH CITY DIALYSIS","262654","-","3740 S JEFFERSON AVE","SAINT LOUIS","MO","63118","12","KT/V COMPREHENSIVE","  98.69%","10","-","7","7"
"COLUMBIA HOME DIALYSIS","262655","-","3320 BLUFF CREEK DRIVE","COLUMBIA","MO","65201","12","KT/V COMPREHENSIVE","  98.29%","9","-","7","7"
"SPRINGFIELD NORTH DIALYSIS","262656","-","1007 E KEARNEY ST","SPRINGFIELD","MO","65803","12","KT/V COMPREHENSIVE","  97.11%","8","-","7","7"
"HEARTLAND KIDNEY AND DIALYSIS CENTER","262657","-","833 N BUSINESS 71","NEOSHO","MO","64850","12","KT/V COMPREHENSIVE","  95.99%","6","-","7","7"
"FRESENIUS MEDICAL CARE NEOSHO","262658","-","915 W HARMONY ST SUITE B","NEOSHO","MO","64850","12","KT/V COMPREHENSIVE","  99.08%","10","-","7","7"
"NXSTAGE ST LOUIS, LLC","262659","-","1076 OLD DES PERES ROAD","SAINT LOUIS","MO","63131","12","KT/V COMPREHENSIVE","  86.42%","0","-","7","7"
"NEVADA DIALYSIS","262660","-","324 N CENTENIAL","NEVADA","MO","64772","12","KT/V COMPREHENSIVE","  97.73%","9","-","7","7"
"DCI LAKE HOME DIALYSIS","262661","-","5816 OSAGE BEACH PKY #111","OSAGE BEACH","MO","65065","12","KT/V COMPREHENSIVE","  96.62%","8","-","7","7"
"EXCELSIOR SPRINGS DIALYSIS","262662","-","1745 W JESSE JAMES RD","EXCELSIOR SPRINGS","MO","64024","12","KT/V COMPREHENSIVE","  99.12%","10","-","7","7"
"KANSAS AVENUE DIALYSIS","262663","-","604 S KANSAS AVE","CLINTON","MO","64735","12","KT/V COMPREHENSIVE","  98.07%","9","-","7","7"
"WASHINGTON HOME TRAINING","262665","-","1040 WASHINGTON SQUARE","WASHINGTON","MO","63090","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"FMC DIALYSIS SERVICES OF HARRISONVILLE","262666","-","2820 EAST ROCK HAVEN ROAD SUITE 160","HARRISONVILLE","MO","64701","12","KT/V COMPREHENSIVE","  98.64%","10","-","7","7"
"FMC - WEST PLAINS MIDWEST","262667","-","803 W BROADWAY ST","WEST PLAINS","MO","65775","12","KT/V COMPREHENSIVE","  98.70%","10","-","7","7"
"FMC - SIKESTON","262669","-","801 PLANTATION BLVD","SIKESTON","MO","63801","12","KT/V COMPREHENSIVE","  92.18%","2","-","7","7"
"DIALYSIS CLINICS, INC. - MACON","262671","-","1203 N MISSOURI ST","MACON","MO","63552","12","KT/V COMPREHENSIVE","  94.69%","5","-","7","7"
"FMC - KENNETT HOME","262672","-","502 COTTONWOOD PLAZA","KENNETT","MO","63857","12","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"NORTH COUNTY KIDNEY CARE DIALYSIS","262673","-","1554 SIERRA VISTA PLZ","SAINT LOUIS","MO","63138","12","KT/V COMPREHENSIVE","  97.97%","9","-","7","7"
"FMC - MISSISSIPPI COUNTY","262674","-","2402 S MAIN ST","CHARLESTON","MO","63834","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"FMC - POPLAR BLUFF WEST","262675","-","3050 TUCKER RD","POPLAR BLUFF","MO","63901","12","KT/V COMPREHENSIVE","  97.16%","8","-","7","7"
"SHOAL CREEK DIALYSIS","262676","-","8260 N BOOTH AVENUE","KANSAS CITY","MO","64158","12","KT/V COMPREHENSIVE","  99.24%","10","-","7","7"
"DIALYSIS CLINICS, INC - STATE LINE DIALYSIS","262677","-","621 CARONDELET DR","KANSAS CITY","MO","64114","12","KT/V COMPREHENSIVE","  96.81%","7","-","7","7"
"FMC - SPRINGFIELD NORTH","262678","-","3359 W KEARNEY ST","SPRINGFIELD","MO","65803","12","KT/V COMPREHENSIVE","  97.50%","8","-","7","7"
"FMC - ARNOLD","262680","-","2194 MICHIGAN AVE","ARNOLD","MO","63010","12","KT/V COMPREHENSIVE","  95.47%","6","-","7","7"
"FMC - ST LOUIS NORTHEAST","262681","-","2840 TARGET DR","SAINT LOUIS","MO","63136","12","KT/V COMPREHENSIVE","  95.37%","6","-","7","7"
"DIALYSIS CLINIC, INC - FULTON","262682","-","2613 FAIRWAY DR SUITE E","FULTON","MO","65251","12","KT/V COMPREHENSIVE","  98.80%","10","-","7","7"
"NATURAL BRIDGE DIALYSIS","262683","-","8980 NATURAL BRIDGE RD","SAINT LOUIS","MO","63121","12","KT/V COMPREHENSIVE","  94.10%","6","-","7","7"
"HOME DIALYSIS SOUTH","262684","-","5201 MID AMERICA PLAZA SUITE 2200","SAINT LOUIS","MO","63129","12","KT/V COMPREHENSIVE","  85.07%","4","-","7","7"
"WESTFALL DIALYSIS","262685","-","8029 W FLORISSANT AVE","JENNINGS","MO","63136","12","KT/V COMPREHENSIVE","  98.44%","9","-","7","7"
"CROSS KEYS DIALYSIS","262686","-","14001 NEW HALLS FERRY RD #133","FLORISSANT","MO","63033","12","KT/V COMPREHENSIVE","  89.47%","0","-","7","7"
"SILVER CREEK DIALYSIS","262687","-","2011 E 32ND ST STE 101","JOPLIN","MO","64804","12","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"DIALYSIS CLINICS, INC - SWOPE PARKWAY","262688","-","6530 TROOST AVE","KANSAS CITY","MO","64131","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"HOME DIALYSIS SERVICES KC MIDTOWN LLC","262689","-","1728 HOLMES ST","KANSAS CITY","MO","64108","12","KT/V COMPREHENSIVE","  73.34%","0","-","7","7"
"NORTH COUNTY DIALYSIS CENTER","262690","-","272 MAYFAIR DRIVE","FLORISSANT","MO","63033","12","KT/V COMPREHENSIVE","  83.94%","0","-","7","7"
"ROBIDOUX DIALYSIS","262691","-","802 JULES ST","SAINT JOSEPH","MO","64501","12","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"ROLLA HOME TRAINING","262692","-","1702 E 10TH ST SUITE B","ROLLA","MO","65401","12","KT/V COMPREHENSIVE","  82.51%","0","-","7","7"
"HOUSE SPRINGS DIALYSIS","262693","-","40 WALTERS PLACE","HOUSE SPRINGS","MO","63051","12","KT/V COMPREHENSIVE","  90.66%","0","-","7","7"
"BLUE RIDGE DIALYSIS","262694","-","8608 E 63RD ST","KANSAS CITY","MO","64133","12","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"OZARKS DIALYSIS SERVICES - PRIMROSE","263506","-","1001 E. PRIMROSE","SPRINGFIELD","MO","65807","12","KT/V COMPREHENSIVE","  96.79%","7","-","7","7"
"OZARKS DIALYSIS SERVICES - SOUTH","263508","-","3525 S NATIONAL STE 108","SPRINGFIELD","MO","65807","12","KT/V COMPREHENSIVE","  96.95%","8","-","7","7"
"OZARKS DIALYSIS SERVICES - MONETT","263510","-","825 HIGHWAY 60 STE B","MONETT","MO","65708","12","KT/V COMPREHENSIVE","  93.44%","3","-","7","7"
"FREEMAN HEALTH SYSTEM OUTPATIENT DIALYSIS CENTER","263511","262679","1636 S MADISON ST","WEBB CITY","MO","64870","12","KT/V COMPREHENSIVE","  98.50%","9","-","7","7"
"ST PETER'S HEALTH DIALYSIS CENTER","272300","270003","2475 BROADWAY","HELENA","MT","59601","16","KT/V COMPREHENSIVE","  98.64%","10","-","6","7"
